"index","ID","COMMON_NAME","SCIENTIFIC_NAME","FOOD_GROUP","FOOD_SUBGROUP"
"699","724","Icing","","Confectioneries","Other confectioneries"
"700","725","Snack bar","","Snack foods","Snack foods"
"701","726","Green turtle","Chelonia mydas","Aquatic foods","Other aquatic foods"
"702","727","Energy drink","","Beverages","Nutritional beverages"
"703","728","Burrito","","Dishes","Tex-Mex cuisine"
"704","729","Hamburger","","Dishes","Sandwiches"
"705","730","Baked beans","","Dishes","Other dishes"
"706","731","Chili","","Dishes","Tex-Mex cuisine"
"707","732","Taco","","Dishes","Tex-Mex cuisine"
"708","733","Tortilla","","Cereals and cereal products","Flat breads"
"709","734","Nachos","","Dishes","Tex-Mex cuisine"
"710","735","Processed cheese","","Milk and milk products","Fermented milk products"
"711","736","Salad","","Dishes","Other dishes"
"712","737","Cream substitute","","Baking goods","Substitutes"
"713","738","Dulce de leche","","Confectioneries","Spreads"
"714","739","Topping","","Baking goods","Baking goods"
"715","740","Sweet custard","","Confectioneries","Milk desserts"
"716","742","Egg roll","","Dishes","Asian cuisine"
"717","743","Heart of palm","","Vegetables","Other vegetables"
"718","744","Popcorn","","Snack foods","Snack foods"
"719","745","Potato chip","","Snack foods","Snack foods"
"720","746","Tortilla chip","","Snack foods","Snack foods"
"721","747","Corn chip","","Snack foods","Snack foods"
"722","748","Hibiscus tea","Hibiscus sabbariffa","Teas","Herbal teas"
"723","749","Stew","","Dishes","Other dishes"
"724","750","Gelatin dessert","","Confectioneries","Desserts"
"725","751","Junket","","Confectioneries","Milk desserts"
"726","752","Falafel","","Dishes","Other dishes"
"727","753","Frybread","","Dishes","Other dishes"
"728","754","Other frozen dessert","","Confectioneries","Frozen desserts"
"729","755","Lasagna","","Dishes","Pasta dishes"
"730","756","Morchella (Morel)","Morchellaceae","Vegetables","Mushrooms"
"731","757","Pancake","","Dishes","Other dishes"
"732","758","Pectin","","Baking goods","Baking goods"
"733","759","Pudding","","Confectioneries","Desserts"
"734","760","Waffle","","Dishes","Other dishes"
"735","761","Soy milk","","Soy","Soy products"
"736","762","Meatloaf","","Dishes","Ground meat"
"737","763","Sake","","Beverages","Fermented beverages"
"738","764","Cocktail","","Beverages","Alcoholic beverages"
"739","765","Couscous","","Dishes","Berber cuisine"
"740","766","Bulgur","","Cereals and cereal products","Cereal products"
"741","767","Coffee substitute","","Baking goods","Substitutes"
"742","768","Coffee mocha","","Coffee and coffee products","Coffee products"
"743","769","Chimichanga","","Dishes","Mexican cuisine"
"744","770","Semolina","","Cereals and cereal products","Cereal products"
"745","771","Tapioca pearl","","Baking goods","Baking goods"
"746","772","Tostada","","Dishes","Mexican cuisine"
"747","773","Quesadilla","","Dishes","Mexican cuisine"
"748","774","Baked potato","","Dishes","Potato dishes"
"749","775","Hot dog","","Dishes","Sandwiches"
"750","776","Spread","","Baking goods","Baking goods"
"751","777","Enchilada","","Dishes","Mexican cuisine"
"752","778","Egg substitute","","Baking goods","Substitutes"
"753","779","Nutritional drink","","Beverages","Nutritional beverages"
"754","780","Other sandwich","","Dishes","Sandwiches"
"755","781","Ketchup","","Baking goods","Condiments"
"756","782","Breakfast sandwich","","Dishes","Sandwiches"
"757","783","Adobo","","Baking goods","Seasonings"
"758","784","Macaroni and cheese","","Dishes","Pasta dishes"
"759","785","Butterfat","","Milk and milk products","Other milk products"
"760","786","Horned melon","Cucumis metuliferus","Gourds","Gourds"
"761","787","Hushpuppy","","Dishes","American cuisine"
"762","788","Fruit juice","","Beverages","Other beverages"
"763","789","Relish","","Baking goods","Condiments"
"764","790","Other fruit product","","Fruits","Fruit products"
"765","791","Fruit salad","","Fruits","Fruit products"
"766","792","Soy yogurt","","Soy","Soy products"
"767","793","Vegetarian food","","Dishes","Other dishes"
"768","794","Veggie burger","","Dishes","Sandwiches"
"769","795","Cold cut","","Dishes","Ground meat"
"770","796","Mixed nuts","","Nuts","Nuts"
"771","797","Canola","","Herbs and spices","Oilseed crops"
"772","798","Babassu palm","Attalea speciosa","Herbs and Spices","Oilseed crops"
"773","799","Cupuaçu","Theobroma grandiflorum","Herbs and Spices","Oilseed crops"
"774","800","Shea tree","Vitellaria paradoxa","Herbs and Spices","Oilseed crops"
"775","801","Oil-seed Camellia","Camellia oleifera","Herbs and Spices","Oilseed crops"
"776","802","Ucuhuba","Virola surinamensis","Herbs and Spices","Oilseed crops"
"777","803","Phyllo dough","","Baking goods","Baking goods"
"778","804","Cooking oil","","Baking goods","Baking goods"
"779","805","Pie crust","","Baking goods","Wrappers"
"780","806","Pie filling","","Baking goods","Baking goods"
"781","807","Pie","","Confectioneries","Desserts"
"782","808","Shortening","","Fats and oils","Vegetable fats"
"783","809","Soy cream","","Soy","Soy products"
"784","810","Ice cream cone","","Baking goods","Wrappers"
"785","811","Molasses","","Baking goods","Baking goods"
"786","812","Cracker","","Snack foods","Snack foods"
"787","813","Nance","Byrsonima crassifolia","Fruits","Tropical fruits"
"788","814","Naranjilla","Solanum quitoense","Fruits","Tropical fruits"
"789","815","Natto","","Soy","Soy products"
"790","816","Ravioli","","Dishes","Pasta dishes"
"791","817","Scrapple","","Dishes","American cuisine"
"792","818","Other pasta dish","","Dishes","Pasta dishes"
"793","819","Succotash","","Dishes","American cuisine"
"794","820","Tamale","","Dishes","Latin American cuisine"
"795","822","Rice cake","","Dishes","Asian cuisine"
"796","823","Tree fern","Cyathea","Vegetables","Other vegetables"
"797","824","Evaporated milk","","Milk and milk products","Other milk products"
"798","825","Flour","","Cereals and cereal products","Cereal products"
"799","826","Akutaq","","Confectioneries","Desserts"
"800","828","Dough","","Cereals and cereal products","Doughs"
"801","829","Pita bread","","Cereals and cereal products","Flat breads"
"802","830","Focaccia","","Cereals and cereal products","Flat breads"
"803","831","Bagel","","Cereals and cereal products","Leavened breads"
"804","832","Other bread product","","Cereals and cereal products","Bread products"
"805","834","Piki bread","","Cereals and cereal products","Flat breads"
"806","835","French toast","","Cereals and cereal products","Leavened breads"
"807","836","Wheat bread","","Cereals and cereal products","Leavened breads"
"808","837","Rye bread","","Cereals and cereal products","Leavened breads"
"809","838","Oat bread","","Cereals and cereal products","Leavened breads"
"810","839","Potato bread","","Cereals and cereal products","Other breads"
"811","840","Cornbread","","Cereals and cereal products","Flat breads"
"812","841","Corn grits","","Cereals and cereal products","Cereal products"
"813","842","Multigrain bread","","Cereals and cereal products","Leavened breads"
"814","843","Rice bread","","Cereals and cereal products","Leavened breads"
"815","844","Pan dulce","","Cereals and cereal products","Leavened breads"
"816","845","Raisin bread","","Cereals and cereal products","Sweet breads"
"817","846","Wonton wrapper","","Baking goods","Wrappers"
"818","848","Trail mix","","Snack foods","Snack foods"
"819","849","Greenthread tea","Thelesperma","Teas","Herbal teas"
"820","850","Fruit-flavor drink","","Beverages","Other beverages"
"821","851","Vegetable juice","","Beverages","Other beverages"
"822","852","Horchata","","Beverages","Other beverages"
"823","853","Soft drink","","Beverages","Other beverages"
"824","854","Frozen yogurt","","Confectioneries","Frozen desserts"
"825","855","Milkshake","","Confectioneries","Frozen desserts"
"826","856","Chocolate mousse","","Confectioneries","Desserts"
"827","857","Dripping","","Fats and oils","Animal fats"
"828","858","Pupusa","","Dishes","Latin American cuisine"
"829","859","Empanada","","Dishes","Latin American cuisine"
"830","860","Arepa","","Dishes","Latin American cuisine"
"831","861","Ascidians","Ascidiacea","Aquatic foods","Other aquatic foods"
"832","862","Gefilte fish","","Dishes","Jewish cuisine"
"833","863","Yellow pond-lily","Nuphar lutea","Herbs and Spices","Herbs"
"834","864","Fish burger","","Dishes","Sandwiches"
"835","865","Other dish","","Dishes","Other dishes"
"836","866","Pot pie","","Dishes","Other dishes"
"837","867","Stuffing","","Baking goods","Baking goods"
"838","868","Edible shell","","Baking goods","Wrappers"
"839","869","Fudge","","Confectioneries","Candies"
"840","870","Candy bar","","Confectioneries","Candies"
"841","871","Condensed milk","","Milk and milk products","Other milk products"
"842","872","Margarine","","Fats and oils","Vegetable fats"
"843","873","Margarine-like spread","","Fats and oils","Vegetable fats"
"844","874","Hummus","","Dishes","Levantine cuisine"
"845","876","Potato puffs","","Dishes","Potato dishes"
"846","877","Potato gratin","","Dishes","Potato dishes"
"847","878","Milk substitute","","Baking goods","Substitutes"
"848","879","Pepper (C. pubescens)","Capsicum pubescens","Vegetables","Fruit vegetables"
"849","880","Soft-necked garlic","Allium sativum L. var. sativum","Herbs and Spices","Herbs"
"850","881","Cabbage","Brassica oleracea var. capitata","Vegetables","Cabbages"
"851","882","Chinese bayberry","Myrica rubra","Fruits","Berries"
"852","883","Mushrooms","","Vegetables","Mushrooms"
"853","884","Alcoholic beverages","","Beverages","Alcoholic beverages"
"854","885","Onion-family vegetables","","Vegetables","Onion-family vegetables"
"855","886","Pomes","","Fruits","Pomes"
"856","887","Brassicas","","Vegetables","Brassicas"
"857","888","Cereals and cereal products","","Cereals and cereal products","Cereals and cereal products"
"858","889","Citrus","","Fruits","Citrus"
"859","890","Cocoa and cocoa products","","Cocoa and cocoa products","Cocoa and cocoa products"
"860","891","Coffee and coffee products","","Coffee and coffee products","Coffee and coffee products"
"861","892","Crustaceans","","Aquatic foods","Crustaceans"
"862","893","Milk and milk products","","Milk and milk products","Milk and milk products"
"863","894","Fats and oils","","Fats and oils","Fats and oils"
"864","896","Fishes","","Aquatic foods","Fishes"
"865","897","Herbs and Spices","","Herbs and Spices","Herbs and Spices"
"866","898","Pulses","","Pulses","Pulses"
"867","900","Mollusks","","Aquatic foods","Mollusks"
"868","901","Nuts","","Nuts","Nuts"
"869","902","Beverages","","Beverages","Beverages"
"870","903","Fruits","","Fruits","Fruits"
"871","904","Green vegetables","","Vegetables","Green vegetables"
"872","905","Root vegetables","","Vegetables","Root vegetables"
"873","906","Sunburst squash (pattypan squash)","Cucurbita pepo var. clypeata","Gourds","Gourds"
"874","907","Green zucchini","Cucurbita pepo var. cylindrica","Gourds","Gourds"
"875","908","Yellow zucchini","Cucurbita pepo var. cylindrica","Gourds","Gourds"
"876","909","Green bell pepper","Capsicum annuum","Vegetables","Fruit vegetables"
"877","910","Yellow bell pepper","Capsicum annuum","Vegetables","Fruit vegetables"
"878","911","Orange bell pepper","Capsicum annuum","Vegetables","Fruit vegetables"
"879","912","Red bell pepper","Capsicum annuum","Vegetables","Fruit vegetables"
"880","913","Italian sweet red pepper","Capsicum annuum","Vegetables","Fruit vegetables"
"881","914","Yellow wax bean","Phaseolus vulgaris","Pulses","Beans"
"882","915","Green bean","Phaseolus vulgaris","Pulses","Beans"
"883","916","Saskatoon berry","Amelanchier alnifolia","Fruits","Berries"
"884","917","Nanking cherry","Prunus tomentosa","Fruits","Berries"
"885","918","Japanese pumpkin","Cucurbita maxima","Gourds","Gourds"
"886","919","White cabbage","Brassica oleracea L. var. capitata L. f. alba DC.","Vegetables","Cabbages"
"887","920","Romaine lettuce","Lactuca sativa L. var. longifolia","Vegetables","Leaf vegetables"
"888","921","Cow milk, pasteurized, vitamin A + D added, 0% fat","","Milk and milk products","Unfermented milks"
"889","922","Cow milk, pasteurized, vitamin A + D added, 1% fat","","Milk and milk products","Unfermented milks"
"890","923","Cow milk, pasteurized, vitamin A + D added, 2% fat","","Milk and milk products","Unfermented milks"
"891","924","Cow milk, pasteurized, vitamin D added, 3.25% fat","","Milk and milk products","Unfermented milks"
"892","925","Castanospermum australe","Castanospermum australe","Vegetables",""
"893","926","Gentiana lutea","Gentiana lutea","Vegetables",""
"894","927","Juniperus communis","Juniperus communis","Vegetables",""
"895","928","Albizia gummifera","Albizia gummifera","Vegetables",""
"896","929","Mundu","Garcinia dulcis","Fruits","Tropical fruits"
"897","930","Rabbiteye blueberry","Vaccinium virgatum","Fruits","Berries"
"898","931","Yali pear","Pyrus × bretschneideri","Fruits","Pomes"
"899","932","Asparagus racemosus","Asparagus racemosus","Vegetables","Shoot vegetables"
"900","933","Evergreen blackberry","Rubus laciniatus","Fruits","Berries"
"901","934","Asparagus fern","Asparagus setaceus","Herbs and Spices","Herbs"
"902","935","Thornless blackberry","Rubus ulmifolius","Fruits","Berries"
"903","936","Tropical highland blackberry","Rubus adenotrichos","Fruits","Berries"
"904","937","Andean blackberry","Rubus glaucus","Fruits","Berries"
"905","938","Blackberry","Rubus","Fruits","Berries"
"906","939","Black tea","","Teas","Teas"
"907","940","Green tea","","Teas","Teas"
"908","941","Olive oil","","Herbs and Spices","Oilseed crops"
"909","942","Macroalgae","","Aquatic foods","Seaweed"
"910","943","Red wine","","Beverages","Fermented beverages"
"911","944","linseed oil","","Herbs and Spices","Oilseed crops"
"912","945","Rapeseed oil","","Herbs and Spices","Oilseed crops"
"913","946","Soybean oil","","Herbs and Spices","Oilseed crops"
"914","947","Guarana","Paullinia cupana","Herbs and Spices","Herbs"
"915","948","Mate","Ilex paraguariensis","Herbs and Spices","Herbs"
"916","949","White wine","","Beverages","Fermented beverages"
"917","950","Sour orange","Citrus × aurantium","Fruits","Citrus"
"918","951","Egg yolk","","Eggs","Eggs"
"919","952","Rosé wine","","Beverages","Fermented beverages"
"920","953","White mulberry","Morus alba","Herbs and Spices","Herbs"
"921","954","Canola oil","","Herbs and Spices","Oilseed crops"
"922","955","Dessert wine","","Beverages","Fermented beverages"
"923","956","Red champagne","","Beverages","Alcoholic beverages"
"924","957","Red tea","","Teas","Teas"
"925","958","White champagne","","Beverages","Alcoholic beverages"
"926","959","Red grape juice","","Beverages","Beverages"
"927","960","White grape juice","","Beverages","Beverages"
"928","961","Crosne","Stachys affinis","Vegetables","Root vegetables"
"929","962","Red clover","Trifolium pratense","Herbs and Spices","Herbs"
"930","963","Partridge berry","Mitchella repens","Fruits","Berries"
"931","964","Mikan","Citrus unshiu","Fruits","Citrus"
"932","965","Mozzarella cheese","","Milk and milk products","Fermented milk products"
"933","966","Plain cream cheese","","Milk and milk products","Fermented milk products"
"934","967","Cheddar Cheese","Cheddar Cheese","Milk and milk products","Fermented milk products"
"935","968","Parmesan cheese","","Milk and milk products","Fermented milk products"
"936","969","Almond milk","","Milk and milk products","Other milk products"
"937","970","Coconut milk","","Milk and milk products","Other milk products"
"938","971","Salted butter","","Milk and milk products","Other milk products"
"939","972","Sunflower oil","","Herbs and Spices","Oilseed crops"
"940","973","Coconut oil","","Herbs and Spices","Oilseed crops"
"941","974","Peanut oil","","Herbs and Spices","Oilseed crops"
"942","975","Cottonseed oil","","Herbs and Spices","Oilseed crops"
"943","976","Corn oil","","Herbs and Spices","Oilseed crops"
"944","977","Avocado oil","","Herbs and Spices","Oilseed crops"
"945","978","Grapeseed oil","","Herbs and Spices","Oilseed crops"
"946","979","Sesame oil","","Herbs and Spices","Oilseed crops"
"947","980","Monterey Jack cheese","","Milk and milk products","Fermented milk products"
"948","981","Swiss cheese","","Milk and milk products","Fermented milk products"
"949","982","Cottage cheese","","Milk and milk products","Fermented milk products"
"950","983","Blue cheese","","Milk and milk products","Fermented milk products"
"951","984","Clam","","Aquatic foods","Bivalvia"
"952","985","Sour cream","","Milk and milk products","Other milk products"
"953","986","Whole wheat bread","","Cereals and cereal products","Cereals"
"954","987","Jalapeno pepper","Capsicum annuum 'Jalapeño'","Vegetables","Fruit vegetables"
"955","988","Greek feta cheese","","Milk and milk products","Fermented milk products"
"956","989","Eddoe","Colocasia antiquorum","Vegetables","Root vegetables"
"957","990","Plantain","Musa × paradisiaca","Fruits","Tropical fruits"
"958","991","Clementine","Citrus × clementina","Fruits","Citrus"
"959","992","Green apple","","Fruits","Pomes"
"960","993","White onion","","Vegetables","Onion-family vegetables"
"961","994","Red onion","","Vegetables","Onion-family vegetables"
"962","995","Green onion","","Vegetables","Onion-family vegetables"
"963","996","Green grape","","Fruits","Berries"
"964","997","Red grape","","Fruits","Berries"
"965","998","Black plum","Syzygium cumini","Fruits","Berries"
"966","999","Green cabbage","Brassica oleracea var. sabauda L.","Vegetables","Cabbages"
"967","1000","Black raisin","","Fruits","Berries"
"968","1001","Cannellini bean","","Pulses","Beans"
"969","1002","Green lentil","Lens culinaris","Pulses","Pulses"
"970","1003","Cubanelle pepper","","Vegetables","Fruit vegetables"
"971","1004","Acorn squash","Cucurbita pepo var. turbinata","Gourds","Gourds"
"972","1005","Iceberg lettuce","","Vegetables","Leaf vegetables"
"973","1006","Japanese sea bass","Lateolabrax japonicus","Aquatic foods","Fishes"
"974","1007","Pea shoots","","Vegetables","Leaf vegetables"
"975","1008","Yau choy","","Vegetables","Leaf vegetables"
"976","1009","Water spinach","Ipomoea aquatica","Vegetables","Leaf vegetables"
"977","1010","Chineese plum","","Fruits","Berries"
"978","1011","Green plum","","Fruits","Berries"
"979","1012","Wampee","Clausena lansium","Fruits","Berries"
"980","1013","Pitaya","Hylocereus undatus","Fruits","Tropical fruits"
"981","1014","Goji","","Fruits","Berries"
"982","1015","Monk fruit","Siraitia grosvenorii","Fruits","Berries"
"983","1016","Cantaloupe melon","Cucumis melo var. cantalupensis","Gourds","Gourds"
"984","1017","Hawthorn","Crataegus","Fruits","Berries"
"985","1018","Lantern fruit","Physalis alkekengi","Fruits","Berries"
"986","1019","White bread","","Cereals and cereal products","Cereals"
"987","1020","Cape gooseberry","Physalis peruviana","Fruits","Berries"
"988","1021","Herbal tea","","Teas","Teas"
"989","1022","Fish oil","","",""
"990","1023","Taco shell","","",""
"991","1024","Tostada shell","","",""
