"index","ID","COMMON_NAME","SCIENTIFIC_NAME","FOOD_GROUP","FOOD_SUBGROUP"
"381","387","Irish moss","Chondrus crispus","Aquatic foods","Seaweed"
"382","388","Pacific jack mackerel","Trachurus symmetricus","Aquatic foods","Fishes"
"383","389","Jackfruit","Artocarpus heterophyllus","Fruits","Tropical fruits"
"384","390","Japanese chestnut","Castanea crenata","Nuts","Nuts"
"385","391","Java plum","Syzygium cumini","Fruits","Tropical fruits"
"386","392","Jerusalem artichoke","Helianthus tuberosus","Vegetables","Tubers"
"387","393","Jujube","Ziziphus zizyphus","Fruits","Other fruits"
"388","394","Jute","Corchorus olitorius","Vegetables","Leaf vegetables"
"389","395","Kale","Brassica napus var. pabularia","Vegetables","Cabbages"
"390","396","Kelp","Laminaria","Aquatic foods","Seaweed"
"391","397","King mackerel","Scomberomorus cavalla","Aquatic foods","Fishes"
"392","398","Kumquat","Fortunella","Fruits","Tropical fruits"
"393","399","Lambsquarters","Chenopodium album","Vegetables","Leaf vegetables"
"394","400","Leather chiton","Katharina tunicata","Aquatic foods","Mollusks"
"395","401","Wild leek","Allium ampeloprasum","Vegetables","Onion-family vegetables"
"396","402","Common ling","Molva molva","Aquatic foods","Fishes"
"397","403","Lingcod","Ophiodon elongatus","Aquatic foods","Fishes"
"398","404","American lobster","Homarus americanus","Aquatic foods","Crustaceans"
"399","405","Loganberry","Rubus loganobaccus","Fruits","Berries"
"400","406","Lotus","Nelumbo","Herbs and Spices","Other seeds"
"401","407","Sacred lotus","Nelumbo nucifera","Vegetables","Other vegetables"
"402","408","White lupine","Lupinus albus","Pulses","Other pulses"
"403","409","Malabar spinach","Basella alba","Vegetables","Leaf vegetables"
"404","410","Mammee apple","Mammea americana","Fruits","Tropical fruits"
"405","411","Purple mangosteen","Garcinia mangostana","Fruits","Tropical fruits"
"406","412","Alpine sweetvetch","Hedysarum alpinum","Vegetables","Root vegetables"
"407","413","Milkfish","Chanos chanos","Aquatic foods","Fishes"
"408","414","Monkfish","Lophius piscatorius","Aquatic foods","Fishes"
"409","416","Moth bean","Vigna aconitifolia","Pulses","Beans"
"410","417","Mountain yam","Dioscorea pentaphylla","Vegetables","Tubers"
"411","418","Striped mullet","Mugil cephalus","Aquatic foods","Fishes"
"412","420","White mustard","Sinapis alba","Herbs and Spices","Spices"
"413","421","Mustard spinach","Brassica perviridis","Vegetables","Cabbages"
"414","422","New Zealand spinach","Tetragonia tetragonioides","Vegetables","Leaf vegetables"
